Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.400000,2.470000,2.210000,2.240000,2.240000,2770300
2019-08-06,2.270000,2.300000,1.970000,2.080000,2.080000,1250300
2019-08-07,2.110000,2.200000,2.000000,2.120000,2.120000,986500
2019-08-08,2.190000,2.220000,2.060000,2.070000,2.070000,551200
2019-08-09,2.130000,2.200000,2.070000,2.180000,2.180000,797900
2019-08-12,2.200000,2.200000,2.050000,2.080000,2.080000,576900
2019-08-13,2.120000,2.120000,1.910000,1.980000,1.980000,1309500
2019-08-14,1.950000,1.950000,1.820000,1.820000,1.820000,1061500
2019-08-15,1.870000,1.870000,1.800000,1.810000,1.810000,675400
2019-08-16,1.810000,1.880000,1.760000,1.850000,1.850000,581000
2019-08-19,1.940000,1.950000,1.860000,1.880000,1.880000,666000
2019-08-20,1.880000,1.930000,1.830000,1.910000,1.910000,498300
2019-08-21,1.860000,1.940000,1.840000,1.890000,1.890000,453100
2019-08-22,1.890000,2.000000,1.860000,1.940000,1.940000,664600
2019-08-23,2.000000,2.040000,1.890000,1.970000,1.970000,748000
2019-08-26,2.000000,2.020000,1.870000,1.920000,1.920000,375400
2019-08-27,1.920000,1.990000,1.900000,1.900000,1.900000,368200
2019-08-28,1.940000,1.950000,1.840000,1.900000,1.900000,439300
2019-08-29,1.880000,1.910000,1.860000,1.880000,1.880000,353700
2019-08-30,1.950000,1.950000,1.840000,1.840000,1.840000,430700
2019-09-03,1.920000,1.990000,1.845000,1.920000,1.920000,1051800
2019-09-04,1.970000,2.140000,1.920000,2.100000,2.100000,1394900
2019-09-05,2.100000,2.139000,2.030000,2.070000,2.070000,721800
2019-09-06,2.110000,2.180000,2.040000,2.040000,2.040000,818800
2019-09-09,2.150000,2.160000,1.975000,2.030000,2.030000,880700
2019-09-10,2.060000,2.070000,1.980000,2.000000,2.000000,472000
2019-09-11,1.990000,2.070000,1.960000,2.010000,2.010000,741700
2019-09-12,2.070000,2.070000,2.000000,2.050000,2.050000,571300
2019-09-13,2.050000,2.150000,2.050000,2.120000,2.120000,1317500
2019-09-16,2.090000,2.150000,2.070000,2.120000,2.120000,787600
2019-09-17,2.110000,2.200000,2.070000,2.190000,2.190000,1015800
2019-09-18,2.210000,2.240000,2.040000,2.090000,2.090000,1140000
2019-09-19,2.030000,2.060000,1.870000,1.990000,1.990000,865400
2019-09-20,1.960000,2.060000,1.960000,2.060000,2.060000,708100
2019-09-23,2.040000,2.040000,1.920000,2.010000,2.010000,838000
2019-09-24,2.010000,2.020000,1.860000,1.910000,1.910000,927800
2019-09-25,1.890000,1.900000,1.832000,1.885000,1.885000,482900
2019-09-26,1.880000,1.880000,1.800000,1.850000,1.850000,739100
2019-09-27,1.850000,1.880000,1.700000,1.720000,1.720000,654400
2019-09-30,1.720000,1.845000,1.720000,1.780000,1.780000,524500
2019-10-01,1.840000,1.840000,1.600000,1.730000,1.730000,611000
2019-10-02,1.730000,1.730000,1.620000,1.680000,1.680000,345700
2019-10-03,1.690000,1.717000,1.640000,1.640000,1.640000,294600
2019-10-04,1.660000,1.700000,1.630000,1.680000,1.680000,273100
2019-10-07,1.700000,1.755000,1.641000,1.720000,1.720000,385900
2019-10-08,1.690000,1.730000,1.650000,1.690000,1.690000,279800
2019-10-09,1.690000,1.940000,1.680000,1.810000,1.810000,1617000
2019-10-10,1.800000,1.844000,1.760000,1.780000,1.780000,356600
2019-10-11,1.770000,1.820000,1.744000,1.800000,1.800000,324900
2019-10-14,1.770000,1.820000,1.760000,1.790000,1.790000,398600
2019-10-15,1.780000,1.830000,1.740000,1.780000,1.780000,409200
2019-10-16,1.760000,1.760000,1.700000,1.700000,1.700000,334000
2019-10-17,1.700000,1.780000,1.700000,1.720000,1.720000,268500
2019-10-18,1.740000,1.750000,1.700000,1.710000,1.710000,175700
2019-10-21,1.730000,1.740000,1.670000,1.700000,1.700000,383800
2019-10-22,1.700000,1.707000,1.582000,1.660000,1.660000,426500
2019-10-23,1.570000,1.650000,1.500000,1.570000,1.570000,1190600
2019-10-24,1.580000,1.619000,1.558000,1.570000,1.570000,219700
2019-10-25,1.610000,1.735000,1.580000,1.680000,1.680000,1667300
2019-10-28,1.800000,1.810000,1.660000,1.700000,1.700000,1551400
2019-10-29,1.680000,1.686000,1.600000,1.610000,1.610000,685600
2019-10-30,1.610000,1.665000,1.520000,1.590000,1.590000,708800
2019-10-31,1.630000,1.630000,1.520000,1.560000,1.560000,322800
2019-11-01,1.550000,1.590000,1.530000,1.570000,1.570000,507100
2019-11-04,1.570000,1.670000,1.550000,1.660000,1.660000,799900
2019-11-05,1.660000,1.660000,1.570000,1.600000,1.600000,643500
2019-11-06,1.590000,1.595000,1.540000,1.570000,1.570000,345000
2019-11-07,1.570000,1.570000,1.500000,1.500000,1.500000,492500
2019-11-08,1.520000,1.540000,1.500000,1.520000,1.520000,264400
2019-11-11,1.550000,1.550000,1.480000,1.530000,1.530000,306300
2019-11-12,1.500000,1.550000,1.500000,1.520000,1.520000,202200
2019-11-13,1.510000,1.532000,1.500000,1.510000,1.510000,256000
2019-11-14,1.510000,1.620000,1.500000,1.590000,1.590000,903100
2019-11-15,1.570000,1.570000,1.490000,1.510000,1.510000,496600
2019-11-18,1.550000,1.550000,1.450000,1.460000,1.460000,441400
2019-11-19,1.490000,1.495000,1.440000,1.440000,1.440000,365900
2019-11-20,1.450000,1.460000,1.410000,1.430000,1.430000,315500
2019-11-21,1.420000,1.450000,1.390000,1.420000,1.420000,409000
2019-11-22,1.390000,1.520000,1.350000,1.490000,1.490000,896200
2019-11-25,1.510000,1.550000,1.350000,1.350000,1.350000,1071200
2019-11-26,1.440000,1.440000,1.310000,1.330000,1.330000,650500
2019-11-27,1.360000,1.380000,1.280000,1.350000,1.350000,1054900
2019-11-29,1.350000,1.405000,1.300000,1.390000,1.390000,289400
2019-12-02,1.340000,1.360000,1.300000,1.300000,1.300000,461000
2019-12-03,1.320000,1.320000,1.280000,1.320000,1.320000,412800
2019-12-04,1.340000,1.340000,1.280000,1.290000,1.290000,578500
2019-12-05,1.310000,1.330000,1.300000,1.320000,1.320000,229600
2019-12-06,1.300000,1.320000,1.290000,1.320000,1.320000,302800
2019-12-09,1.320000,1.320000,1.290000,1.290000,1.290000,229300
2019-12-10,1.290000,1.320000,1.290000,1.300000,1.300000,334800
2019-12-11,1.300000,1.370000,1.290000,1.320000,1.320000,694800
2019-12-12,1.370000,1.370000,1.290000,1.320000,1.320000,292900
2019-12-13,1.330000,1.350000,1.305000,1.340000,1.340000,303800
2019-12-16,1.330000,1.380000,1.300000,1.330000,1.330000,887000
2019-12-17,1.300000,1.320000,1.290000,1.300000,1.300000,398300
2019-12-18,1.310000,1.350000,1.290000,1.330000,1.330000,490300
2019-12-19,1.350000,1.370000,1.320000,1.320000,1.320000,320800
2019-12-20,1.330000,1.340000,1.310000,1.330000,1.330000,297100
2019-12-23,1.350000,1.350000,1.310000,1.330000,1.330000,546100
2019-12-24,1.310000,1.330000,1.310000,1.310000,1.310000,332600
2019-12-26,1.340000,1.340000,1.280000,1.300000,1.300000,581000
2019-12-27,1.290000,1.300000,1.210000,1.220000,1.220000,906000
2019-12-30,1.220000,1.230000,1.110000,1.140000,1.140000,1046700
2019-12-31,1.140000,1.150000,1.110000,1.120000,1.120000,619300
2020-01-02,1.140000,1.230000,1.130000,1.220000,1.220000,915700
2020-01-03,1.220000,1.220000,1.140000,1.180000,1.180000,467200
2020-01-06,1.230000,1.300000,1.200000,1.300000,1.300000,981200
2020-01-07,1.390000,1.500000,1.330000,1.490000,1.490000,3313600
2020-01-08,1.540000,1.540000,1.290000,1.370000,1.370000,1792300
2020-01-09,1.370000,1.410000,1.290000,1.330000,1.330000,791100
2020-01-10,1.330000,1.450000,1.290000,1.410000,1.410000,1358500
2020-01-13,1.450000,1.450000,1.310000,1.360000,1.360000,634900
2020-01-14,1.440000,1.510000,1.408000,1.420000,1.420000,1683000
2020-01-15,1.500000,1.500000,1.390000,1.400000,1.400000,1247300
2020-01-16,1.400000,1.450000,1.360000,1.430000,1.430000,670600
2020-01-17,1.450000,1.490000,1.430000,1.460000,1.460000,1102400
2020-01-21,1.490000,1.490000,1.330000,1.400000,1.400000,1020500
2020-01-22,1.430000,1.430000,1.310000,1.340000,1.340000,865200
2020-01-23,1.330000,1.334000,1.250000,1.260000,1.260000,737500
2020-01-24,1.300000,1.320000,1.250000,1.260000,1.260000,468000
2020-01-27,1.260000,1.280000,1.200000,1.240000,1.240000,891300
2020-01-28,1.280000,1.320000,1.265000,1.310000,1.310000,679800
2020-01-29,1.330000,1.350000,1.280000,1.310000,1.310000,634000
2020-01-30,1.580000,1.630000,1.340000,1.430000,1.430000,7720600
2020-01-31,1.450000,1.450000,1.350000,1.350000,1.350000,1400000
2020-02-03,1.360000,1.420000,1.330000,1.360000,1.360000,916000
2020-02-04,1.360000,1.390000,1.320000,1.380000,1.380000,862600
2020-02-05,1.400000,1.510000,1.400000,1.480000,1.480000,2968900
2020-02-06,1.530000,1.550000,1.420000,1.430000,1.430000,1962100
2020-02-07,1.460000,1.460000,1.390000,1.430000,1.430000,1198700
2020-02-10,1.480000,1.510000,1.390000,1.480000,1.480000,1425700
2020-02-11,1.500000,1.760000,1.490000,1.680000,1.680000,7345800
2020-02-12,1.790000,1.860000,1.580000,1.600000,1.600000,6460000
2020-02-13,1.600000,1.630000,1.510000,1.610000,1.610000,1839500
2020-02-14,1.610000,1.670000,1.560000,1.640000,1.640000,1579100
2020-02-18,1.550000,1.560000,1.400000,1.500000,1.500000,2365200
2020-02-19,1.550000,1.550000,1.420000,1.500000,1.500000,1148800
2020-02-20,1.420000,1.455000,1.370000,1.420000,1.420000,1890000
2020-02-21,1.430000,1.440000,1.370000,1.410000,1.410000,906800
2020-02-24,1.300000,1.370000,1.290000,1.330000,1.330000,1274200
2020-02-25,1.350000,1.350000,1.230000,1.260000,1.260000,1376300
2020-02-26,1.240000,1.250000,1.180000,1.245000,1.245000,1419700
2020-02-27,1.200000,1.280000,1.129000,1.230000,1.230000,1555900
2020-02-28,1.150000,1.190000,1.120000,1.140000,1.140000,1237100
2020-03-02,1.160000,1.210000,1.130000,1.180000,1.180000,810600
2020-03-03,1.180000,1.190000,1.120000,1.140000,1.140000,751300
2020-03-04,1.160000,1.170000,1.130000,1.165000,1.165000,530700
2020-03-05,1.250000,1.330000,1.220000,1.280000,1.280000,2785100
2020-03-06,1.290000,1.340000,1.160000,1.270000,1.270000,1437700
2020-03-09,1.080000,1.120000,1.020000,1.080000,1.080000,1378500
2020-03-10,1.130000,1.140000,1.040000,1.070000,1.070000,776300
2020-03-11,1.040000,1.080000,0.990000,1.010000,1.010000,1065500
2020-03-12,0.750000,0.777000,0.530000,0.728000,0.728000,1826700
2020-03-13,0.780000,0.800000,0.650000,0.720000,0.720000,1138300
2020-03-16,0.610000,0.700000,0.600000,0.658000,0.658000,936800
2020-03-17,0.700000,0.800000,0.631000,0.748000,0.748000,674700
2020-03-18,0.740000,0.740000,0.511000,0.650000,0.650000,1454800
2020-03-19,0.700000,0.730000,0.650000,0.703000,0.703000,840100
2020-03-20,0.756000,0.760000,0.690000,0.705000,0.705000,592900
2020-03-23,0.714000,0.730000,0.630000,0.669000,0.669000,565600
2020-03-24,0.735000,0.830000,0.735000,0.798000,0.798000,1173800
2020-03-25,0.750000,0.840000,0.735000,0.773000,0.773000,719100
2020-03-26,0.820000,0.930000,0.760000,0.816000,0.816000,1238000
2020-03-27,0.800000,0.830000,0.780000,0.789000,0.789000,364600
2020-03-30,0.807000,0.850000,0.780000,0.792000,0.792000,506900
2020-03-31,0.830000,0.860000,0.790000,0.833000,0.833000,354400
2020-04-01,0.830000,0.846000,0.760000,0.773000,0.773000,524600
2020-04-02,0.798000,0.882000,0.760000,0.780000,0.780000,995800
2020-04-03,0.910000,0.950000,0.850000,0.900000,0.900000,1287600
2020-04-06,0.950000,1.120000,0.920000,1.095000,1.095000,2570800
2020-04-07,1.190000,1.190000,0.990000,1.020000,1.020000,1410400
2020-04-08,1.060000,1.090000,1.000000,1.070000,1.070000,673600
2020-04-09,1.080000,1.090000,0.980000,1.030000,1.030000,759800
2020-04-13,1.010000,1.020000,0.930000,1.010000,1.010000,656500
2020-04-14,0.984000,1.040000,0.984000,1.010000,1.010000,1078000
2020-04-15,1.050000,1.250000,1.020000,1.130000,1.130000,2518900
2020-04-16,1.200000,1.210000,1.130000,1.170000,1.170000,1027800
2020-04-17,1.200000,1.200000,1.110000,1.140000,1.140000,720000
2020-04-20,1.100000,1.180000,1.100000,1.100000,1.100000,1170200
2020-04-21,1.080000,1.084000,0.984000,1.020000,1.020000,1030200
2020-04-22,1.050000,1.080000,1.020000,1.070000,1.070000,502300
2020-04-23,1.070000,1.200000,1.070000,1.150000,1.150000,4276500
2020-04-24,1.170000,1.290000,1.100000,1.250000,1.250000,4467300
2020-04-27,1.270000,1.300000,1.150000,1.240000,1.240000,2484600
2020-04-28,1.240000,1.250000,1.150000,1.160000,1.160000,1071800
2020-04-29,1.260000,1.380000,1.170000,1.210000,1.210000,7766400
2020-04-30,1.230000,1.240000,1.150000,1.210000,1.210000,1669700
2020-05-01,1.180000,1.200000,1.070000,1.070000,1.070000,2123000
2020-05-04,1.100000,1.130000,1.030000,1.120000,1.120000,1039300
2020-05-05,1.150000,1.180000,1.100000,1.150000,1.150000,2111400
2020-05-06,1.210000,1.280000,1.170000,1.270000,1.270000,4860800
2020-05-07,1.350000,1.590000,1.270000,1.540000,1.540000,10412300
2020-05-08,1.750000,2.130000,1.560000,1.850000,1.850000,20009100
2020-05-11,1.800000,1.870000,1.500000,1.590000,1.590000,9081900
2020-05-12,1.610000,1.740000,1.520000,1.600000,1.600000,4215700
2020-05-13,1.640000,1.910000,1.600000,1.890000,1.890000,8303700
2020-05-14,2.100000,2.580000,1.920000,2.280000,2.280000,21548400
2020-05-15,2.270000,2.340000,2.010000,2.080000,2.080000,6998700
2020-05-18,2.180000,2.310000,2.060000,2.190000,2.190000,5523100
2020-05-19,2.200000,2.415000,2.150000,2.230000,2.230000,5389200
2020-05-20,2.450000,2.750000,2.370000,2.530000,2.530000,12852500
2020-05-21,2.430000,2.520000,2.150000,2.330000,2.330000,6331400
2020-05-22,2.370000,2.380000,2.200000,2.240000,2.240000,3030100
2020-05-26,2.170000,2.170000,1.930000,1.950000,1.950000,5653900
2020-05-27,2.130000,2.210000,1.990000,2.120000,2.120000,4581900
2020-05-28,2.220000,2.350000,2.180000,2.210000,2.210000,4949300
2020-05-29,2.200000,2.210000,2.060000,2.140000,2.140000,2455600
2020-06-01,2.140000,2.320000,2.140000,2.270000,2.270000,4076800
2020-06-02,2.620000,2.980000,2.340000,2.510000,2.510000,16278000
2020-06-03,2.600000,2.650000,2.320000,2.410000,2.410000,5059300
2020-06-04,2.540000,2.740000,2.410000,2.630000,2.630000,6913300
2020-06-05,2.570000,2.680000,2.420000,2.600000,2.600000,4229500
2020-06-08,2.580000,2.660000,2.480000,2.570000,2.570000,3545800
2020-06-09,2.550000,2.650000,2.430000,2.620000,2.620000,3665000
2020-06-10,2.680000,3.310000,2.570000,3.100000,3.100000,18090900
2020-06-11,2.680000,2.819000,2.160000,2.180000,2.180000,11006000
2020-06-12,2.450000,2.462000,2.140000,2.290000,2.290000,4853900
2020-06-15,2.100000,2.375000,2.050000,2.310000,2.310000,4674200
2020-06-16,2.460000,2.480000,2.280000,2.350000,2.350000,2646800
2020-06-17,2.350000,2.350000,2.210000,2.270000,2.270000,1699400
2020-06-18,2.270000,2.280000,2.190000,2.190000,2.190000,1934300
2020-06-19,2.250000,2.320000,2.110000,2.110000,2.110000,3511000
2020-06-22,2.230000,2.700000,2.140000,2.510000,2.510000,10076100
2020-06-23,2.568000,2.840000,2.410000,2.600000,2.600000,7705100
2020-06-24,2.500000,2.520000,2.240000,2.370000,2.370000,5062600
2020-06-25,2.220000,2.380000,2.220000,2.330000,2.330000,1906300
2020-06-26,2.280000,2.300000,2.150000,2.200000,2.200000,2817900
2020-06-29,2.163000,2.180000,2.040000,2.140000,2.140000,2961000
2020-06-30,2.100000,2.360000,2.080000,2.220000,2.220000,3369000
2020-07-01,2.210000,2.410000,2.210000,2.340000,2.340000,3538300
2020-07-02,2.380000,2.385000,2.190000,2.290000,2.290000,3108700
2020-07-06,2.350000,2.490000,2.310000,2.380000,2.380000,4540800
2020-07-07,2.380000,2.385000,2.230000,2.290000,2.290000,2244000
2020-07-08,2.330000,2.580000,2.308000,2.540000,2.540000,9039500
2020-07-09,2.590000,2.600000,2.260000,2.360000,2.360000,5068600
2020-07-10,2.300000,2.390000,2.250000,2.330000,2.330000,1765900
2020-07-13,2.340000,2.376000,2.160000,2.180000,2.180000,3641200
2020-07-14,2.150000,2.250000,2.090000,2.250000,2.250000,1919500
2020-07-15,2.270000,2.280000,2.180000,2.260000,2.260000,1526600
2020-07-16,2.200000,2.230000,2.160000,2.220000,2.220000,1761600
2020-07-17,2.250000,2.260000,2.180000,2.230000,2.230000,1595100
2020-07-20,2.220000,2.270000,2.150000,2.260000,2.260000,2079900
2020-07-21,2.350000,2.370000,2.250000,2.300000,2.300000,3792900
2020-07-22,2.300000,2.370000,2.240000,2.340000,2.340000,5382500
2020-07-23,2.400000,2.450000,2.230000,2.290000,2.290000,7573500
2020-07-24,2.250000,2.285000,2.060000,2.220000,2.220000,8569200
2020-07-27,2.620000,3.080000,2.470000,2.640000,2.640000,52558900
2020-07-28,2.870000,3.200000,2.660000,2.770000,2.770000,43346200
2020-07-29,2.880000,2.910000,2.700000,2.750000,2.750000,15147400
2020-07-30,2.561000,2.660000,2.360000,2.550000,2.550000,10283700
2020-07-31,2.600000,2.800000,2.430000,2.640000,2.640000,14306300
2020-08-03,2.900000,4.000000,2.750000,3.500000,3.500000,58695600
